"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"978748845","A94D98BB9D23321B08CBFB9BD55F0FB7","neeti26","neeti26","https://www.tripadvisor.com/Profile/neeti26","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg","","No","5","","Wonderful stay with outstanding service at Hyatt!","Every member of the staff went above and beyond, ensuring that our needs were met promptly and with a smile. Buffet breakfast was a delight ,with a wide range of options and the ambience was relaxing and the rooms were comfortable.Highly recommend!","0","","NONE","2024-11-30","2024-11-05","2024-11-04","en","Hyatt Regency Dubai","306684","https://www.tripadvisor.com/ShowUserReviews-g295424-d306684-r978748845-Hyatt_Regency_Dubai-Dubai_Emirate_of_Dubai.html"
"930500831","4B65F1F07858EEB8F98EFBC3355333EC","mikeyau430","mikeyau430","https://www.tripadvisor.com/Profile/mikeyau430","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg","","No","5","Value: 5
Location: 5
Service: 5","Phenomenal service!","I thoroughly enjoyed my stay here.

All of the staff here were amazing and they made my stay extra special!

If you have access to breakfast or the club, you’ll find the most patient and attentive staff.

We were here for 9 nights and every breakfast and club was bursting at the seams and there were a lot of rude guests, but the staff here handled everything with grace and a smile.

While the entire staff here was amazing, there were a few standouts.

When there wasn’t plant-based milk for coffee, Heba helped order soy milk for my partner because she is plant-based/vegan.  We were pleasantly surprised she would go through the hassle for us and even let us know when it arrived.

When my partner couldn’t find plant-based food, Queenie came out with samosas and daal that were vegan and weren’t available in the main self-serve area. 

Carol told her what she could eat and was super helpful when navigating the buffet.  Carol was the warmest, most nurturing chef we’ve ever come across.  She was very patient and was happy to accommodate any dietary restrictions in a way that felt like she truly cared about our well-being.  

The service here was phenomenal.

It’s usually difficult for my partner to find plant-based milk for her coffee and good plant-based food when we stay in Hyatts or other hotels.

In some cases, they make it feel like a burden or we would simply get a “no” when we asked for these things.

However, the staff at Hyatt Regency Dubai went out of their way to get soy milk, prepare plant-based/vegan food, and also ask the chefs what was vegan to make sure she didn’t accidentally consume butter, ghee, or milk.

The service here was as good as any Park Hyatt, Alila, or Andaz I’ve ever stayed at.","0","","COUPLES","2023-09-30","2023-12-21","2023-12-21","en","Hyatt Regency Dubai","306684","https://www.tripadvisor.com/ShowUserReviews-g295424-d306684-r930500831-Hyatt_Regency_Dubai-Dubai_Emirate_of_Dubai.html"
"978738428","BA01B6B06FFECE142CEA81A2CEC2AB5C","cedric a","cedrica243","https://www.tripadvisor.com/Profile/cedrica243","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg","","No","5","","Good experience.","Lovely hotel, helpful staff, spacious and well maintained room with a lovely creek view. Additional perk is that their breakfast is available till 11:00 and their swimming pool is open till 22:00. Located walking distance to the metro and Gold Souk.","0","","NONE","2024-10-31","2024-11-05","2024-11-04","en","Hyatt Regency Dubai","306684","https://www.tripadvisor.com/ShowUserReviews-g295424-d306684-r978738428-Hyatt_Regency_Dubai-Dubai_Emirate_of_Dubai.html"
"978410561","A578CAA15D7D5D449C68EB697644824B","Deepu Abraham","deepuabraham","https://www.tripadvisor.com/Profile/deepuabraham","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg","Birmingham","No","5","","Birthday party","We conducted first birthday party for our son. The event was superbly well organised. The staff were exceptionally cordial. Food was superb. Overall we had a great experience. Initial arrangements with Ms Habiba and Banquet team led by Mr Liji did a fantastic job. Very highly recommended.","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/fd/78/b5/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/fd/78/b6/caption.jpg","FAMILY","2024-11-30","2024-11-02","2024-11-02","en","Hyatt Regency Dubai","306684","https://www.tripadvisor.com/ShowUserReviews-g295424-d306684-r978410561-Hyatt_Regency_Dubai-Dubai_Emirate_of_Dubai.html"
"977160789","9B2F18A26D1189E789C92DFB17D19AFD","Jmahg","Jmahg","https://www.tripadvisor.com/Profile/Jmahg","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg","Maidenhead","No","4","","Nice rooms and service in lounge","We had lounge access and room which was based on this. The room was spacious with good storage facilities and a nice bath and shower. There is a good sized table but weirdly the kettle had to be moved from the refreshment area in order to find a plug. Plenty of hangers which is often lacking these days. On a more negative note the bed was uncomfortable and the pillows were very flat. Never had such poor pillows even in a budget hotel. We had lounge access which was excellent. Staff were attentive and there was a good choice of food for breakfast with an egg station. The evening free flow and buffet was also very good with a pasta station. The location of the hotel suited us because of business commitments but the nearest Mall was an hours walk away. It is on the Creek and interesting to see all the ships which we could see from the lounge.","0","","COUPLES","2024-10-31","2024-10-29","2024-10-29","en","Hyatt Regency Dubai","306684","https://www.tripadvisor.com/ShowUserReviews-g295424-d306684-r977160789-Hyatt_Regency_Dubai-Dubai_Emirate_of_Dubai.html"
"977045544","8F4BFFE054999CFC76E77AE42E706B6B","Sean N","T5898GVseann","https://www.tripadvisor.com/Profile/T5898GVseann","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg","","No","5","","Happy in Dubai","Very comfortable bed and high standard of room cleanliness, quiet and comfortable, nice dining facilities, pleasant pool deck, good access to metro and at front of hotel for vehicles. Meals had a great selection. We would stay here again.","0","","NONE","2024-09-30","2024-10-28","2024-10-28","en","Hyatt Regency Dubai","306684","https://www.tripadvisor.com/ShowUserReviews-g295424-d306684-r977045544-Hyatt_Regency_Dubai-Dubai_Emirate_of_Dubai.html"
"976945087","660409FA6BF826254246DBB0828E5BEF","Naz M","nazm429","https://www.tripadvisor.com/Profile/nazm429","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg","","No","5","","Fantastic experience","5 star world class experience.  Very impressed. Staff are great. Excellent hospitality. The hotel has a mall, ice rink and lots of helpful staff. Food is fresh with large variety of dishes. Breakfast and dinner is highly recommended. Exceeded expectations","0","","BUSINESS","2024-10-31","2024-10-28","2024-10-28","en","Hyatt Regency Dubai","306684","https://www.tripadvisor.com/ShowUserReviews-g295424-d306684-r976945087-Hyatt_Regency_Dubai-Dubai_Emirate_of_Dubai.html"
"976818935","F924A6ADDB82270D6220B580BCEE2079","Karim Maxi","karimmaxi","https://www.tripadvisor.com/Profile/karimmaxi","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg","Cairo","No","5","","Comfy and relaxing stay","Lovely stay and very friendly staff 
Hotel amenities were beyond my expectations 
Clean room. Lovely view. Amazing room service. Minibar stacked with everyone's likings. 
It was a real pleasure staying there and will definitely come again but this time with my family!","0","","SOLO","2024-10-31","2024-10-27","2024-10-27","en","Hyatt Regency Dubai","306684","https://www.tripadvisor.com/ShowUserReviews-g295424-d306684-r976818935-Hyatt_Regency_Dubai-Dubai_Emirate_of_Dubai.html"
"976588068","98432C27A63416CFA4C8E5014549EAEB","LUCY W","lucymA9000EO","https://www.tripadvisor.com/Profile/lucymA9000EO","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg","","No","5","","Amazing Experince","Very friendly and helpful staff. Lovely hotel ambience. I loved the housekeeping experience- the rooms were clean with comfortable beds. The food and beverage experience was also quite good. Hearty and heavy breakfast served by friendly staff. I would definitely recommend the hotel for any travelers.","0","","NONE","2024-10-31","2024-10-25","2024-10-25","en","Hyatt Regency Dubai","306684","https://www.tripadvisor.com/ShowUserReviews-g295424-d306684-r976588068-Hyatt_Regency_Dubai-Dubai_Emirate_of_Dubai.html"
"976542804","5C37EAA23170F877D4071AADE6B43E5E","Ibrahim Alwabel","ibrahimalwabel","https://www.tripadvisor.com/Profile/ibrahimalwabel","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg","","No","5","","Fantastic trip","Beautiful hotel with lovely staff especially my friend Rajesh who is working in Concierge, as well as Salma in the reception, food was great also , room clean and the view was nice, everything was great, breakfast staff were helpful and willing to give us anything","0","","NONE","2024-10-31","2024-10-25","2024-10-25","en","Hyatt Regency Dubai","306684","https://www.tripadvisor.com/ShowUserReviews-g295424-d306684-r976542804-Hyatt_Regency_Dubai-Dubai_Emirate_of_Dubai.html"
